code,language,sub_language,total,total_male,total_female,rural,rural_male,rural_female,urban,urban_male,urban_female
30003,Bhili,Barel,991257,497069,494188,976087,489264,486823,15170,7805,7365
30006,Bhili,Bhilali,753466,375317,378149,742835,369937,372898,10631,5380,5251
30007,Bhili,Bhili,3206533,1603959,1602574,3109044,1554573,1554471,97489,49386,48103
30011,Bhili,Chodhari,110570,54535,56035,109809,54176,55633,761,359,402
30015,Bhili,Dhodia,49097,24267,24830,40734,20022,20712,8363,4245,4118
30020,Bhili,Gamti,139118,68807,70311,134071,66399,67672,5047,2408,2639
30021,Bhili,Garasia,76749,38516,38233,73711,36947,36764,3038,1569,1469
30035,Bhili,Kokna,416787,207960,208827,328489,164425,164064,88298,43535,44763
30049,Bhili,Mawchi,98486,48886,49600,94554,46917,47637,3932,1969,1963
30066,Bhili,Paradhi,69085,34555,34530,52459,26217,26242,16626,8338,8288
30068,Bhili,Pawri,311677,157986,153691,304283,154027,150256,7394,3959,3435
30070,Bhili,Rathi,47801,26402,21399,47139,26055,21084,662,347,315
30073,Bhili,Tadavi,52347,26519,25828,46712,23685,23027,5635,2834,2801
30075,Bhili,Varli,387481,191372,196109,376368,185801,190567,11113,5571,5542
30076,Bhili,Vasava,187036,92887,94149,184411,91557,92854,2625,1330,1295
30078,Bhili,Wagdi,3393991,1711046,1682945,3271914,1649034,1622880,122077,62012,60065
30999,Bhili,Others,59128,30313,28815,52019,26539,25480,7109,3774,3335
31001,Bhotia,Bhotia,120583,59579,61004,94139,46794,47345,26444,12785,13659
31011,Bhotia,Bauti,100000,49265,50735,76946,37800,39146,23054,11465,11589
31999,Bhotia,Others,9371,4782,4589,7475,3799,3676,1896,983,913
32002,Bhumij,Bhumij,10190,5085,5105,9500,4731,4769,690,354,336
32999,Bhumij,Others,17316,8788,8528,16314,8266,8048,1002,522,480
33003,Bishnupuriya,Bishnupriya Manipuri,74069,36945,37124,64302,31968,32334,9767,4977,4790
33999,Bishnupuriya,Others,5577,2817,2760,4558,2260,2298,1019,557,462
34001,Chakhesang,Chakhesang,19846,10171,9675,12177,6333,5844,7669,3838,3831
35001,Chakru,Chakru,91216,46143,45073,77622,39219,38403,13594,6924,6670
36001,Chang,Chang,66852,34533,32319,49053,25408,23645,17799,9125,8674
37001,Coorgi,Coorgi,16939,8290,8649,2730,1378,1352,14209,6912,7297
37003,Coorgi,Kodava,96918,47826,49092,75728,37509,38219,21190,10317,10873
38001,Deori,Deori,32376,16234,16142,30286,15166,15120,2090,1068,1022
39002,Dimasa,Dimasa,133327,66777,66550,119065,59646,59419,14262,7131,7131
39999,Dimasa,Others,3857,1936,1921,3664,1820,1844,193,116,77
40001,English,English,259678,129115,130563,36985,20366,16619,222693,108749,113944
41001,Gadaba,Gadaba,40965,19698,21267,39697,19114,20583,1268,584,684
41999,Gadaba,Others,11,6,5,1,1,0,10,5,5
42001,Gangte,Gangte,16542,8389,8153,14526,7378,7148,2016,1011,1005
43005,Garo,Garo,1125359,566507,558852,1004106,507048,497058,121253,59459,61794
43999,Garo,Others,19964,10021,9943,18536,9311,9225,1428,710,718
44002,Gondi,Dorli,47701,23690,24011,44769,22039,22730,2932,1651,1281
44007,Gondi,Gondi,2856581,1412226,1444355,2751694,1359001,1392693,104887,53225,51662
44013,Gondi,Kalari,26769,13358,13411,25711,12821,12890,1058,537,521
44017,Gondi,Maria,15864,7825,8039,15427,7582,7845,437,243,194
44999,Gondi,Others,37538,19075,18463,33090,16873,16217,4448,2202,2246
45001,Halabi,Halabi,765464,376440,389024,690605,339617,350988,74859,36823,38036
45999,Halabi,Others,833,441,392,761,405,356,72,36,36
46003,Halam,Halam,26534,13382,13152,24052,12174,11878,2482,1208,1274
46999,Halam,Others,12381,6285,6096,12034,6093,5941,347,192,155
47001,Hmar,Hmar,98988,49558,49430,78693,39694,38999,20295,9864,10431
48004,Ho,Ho,1410996,698250,712746,1295556,640402,655154,115440,57848,57592
48007,Ho,Lohara,10422,5288,5134,9260,4698,4562,1162,590,572
49002,Jatapu,Jatapu,19990,9516,10474,19940,9490,10450,50,26,24
49999,Jatapu,Others,38,19,19,20,10,10,18,9,9
50001,Juang,Juang,30378,14889,15489,30274,14832,15442,104,57,47
51003,Kabui,Kabui,54220,26869,27351,38390,19248,19142,15830,7621,8209
51005,Kabui,Rongmei,68706,34396,34310,49293,24776,24517,19413,9620,9793
51999,Kabui,Others,5,3,2,1,1,0,4,2,2
52002,Karbi,Karbi,528503,267064,261439,481209,243400,237809,47294,23664,23630
53002,Khandeshi,Ahirani,1636465,840261,796204,1447847,743786,704061,188618,96475,92143
53004,Khandeshi,Dangi,150674,75138,75536,145952,72795,73157,4722,2343,2379
53005,Khandeshi,Gujari,57171,29795,27376,54112,28080,26032,3059,1715,1344
53006,Khandeshi,Khandeshi,10670,5480,5190,3651,1889,1762,7019,3591,3428
53999,Khandeshi,Others,5256,2628,2628,4599,2305,2294,657,323,334
54005,Kharia,Kharia,293665,144973,148692,269374,133223,136151,24291,11750,12541
54999,Kharia,Others,3949,1964,1985,3795,1889,1906,154,75,79
55007,Khasi,Khasi,1037964,510477,527487,781894,390047,391847,256070,120430,135640
55009,Khasi,Lyngngam,11586,5840,5746,11569,5830,5739,17,10,7
55012,Khasi,Pnar,319324,156818,162506,289379,142910,146469,29945,13908,16037
55015,Khasi,War,51558,25482,26076,50201,24872,25329,1357,610,747
55999,Khasi,Others,10912,5100,5812,6667,3283,3384,4245,1817,2428
56003,Khezha,Khezha,36383,18367,18016,28868,14615,14253,7515,3752,3763
56999,Khezha,Others,5242,2759,2483,5097,2678,2419,145,81,64
57001,Khiemnungan,Khiemnungan,61968,32405,29563,55261,28837,26424,6707,3568,3139
57999,Khiemnungan,Others,15,9,6,1,1,0,14,8,6
58001,Khond,Khond,111693,53913,57780,110122,53070,57052,1571,843,728
58006,Khond,Kuvi,43855,20796,23059,43674,20704,22970,181,92,89
59003,Kinnauri,Kinnauri,83427,40711,42716,80211,39058,41153,3216,1653,1563
59999,Kinnauri,Others,134,74,60,34,23,11,100,51,49
60002,Kisan,Kisan,206100,102398,103702,189730,94304,95426,16370,8094,8276
61002,Koch,Koch,33962,17069,16893,32431,16331,16100,1531,738,793
61999,Koch,Others,2472,1226,1246,2430,1205,1225,42,21,21
62003,Koda,Koda,47181,23518,23663,42683,21270,21413,4498,2248,2250
62999,Koda,Others,87,41,46,81,38,43,6,3,3
63001,Kolami,Kolami,128451,64423,64028,126112,63187,62925,2339,1236,1103
64001,Kom,Kom,15108,7483,7625,13788,6855,6933,1320,628,692
65002,Konda,Kodu,32166,15880,16286,31080,15002,16078,1086,878,208
65003,Konda,Konda,24987,12380,12607,24836,12276,12560,151,104,47
65999,Konda,Others,3546,1779,1767,3505,1753,1752,41,26,15
66001,Konyak,Konyak,244477,127807,116670,211984,111078,100906,32493,16729,15764
67001,Korku,Korku,688053,348620,339433,678097,343346,334751,9956,5274,4682
67004,Korku,Muwasi,35827,18001,17826,35594,17867,17727,233,134,99
67999,Korku,Others,3253,1664,1589,3231,1648,1583,22,16,6
68003,Korwa,Koraku,16154,8067,8087,15654,7822,7832,500,245,255
68999,Korwa,Others,12299,6236,6063,8621,4415,4206,3678,1821,1857
